job_id,title,company,city,lat,lon,sector,required_skills,min_experience_years,salary_range_tnd
J001,Software Engineer - Backend,Vermeg,Tunis,36.8065,10.1815,Software Engineering,Java;Spring Boot;Microservices;SQL;Git;REST APIs,2,2500-3500
J002,Senior Java Developer,Vermeg,Tunis,36.8065,10.1815,Software Engineering,Java;Hibernate;Oracle DB;Maven;Agile;JUnit,4,3500-5000
J003,Frontend Developer,Vermeg,Tunis,36.8065,10.1815,Software Engineering,React;TypeScript;HTML5;CSS3;Git;Webpack,2,2000-3000
J004,DevOps Engineer,Vermeg,Tunis,36.8065,10.1815,Software Engineering,Docker;Kubernetes;Jenkins;AWS;Linux;Terraform,3,3000-4500
J005,Data Engineer,Vermeg,Tunis,36.8065,10.1815,Data Science,Python;Apache Spark;Kafka;SQL;Airflow;AWS S3,3,3000-4500
J006,Software Architect,Vermeg,Tunis,36.8065,10.1815,Software Engineering,Java;Microservices;System Design;Cloud Architecture;Docker;CI/CD,6,5000-7000
J007,QA Engineer,Vermeg,Tunis,36.8065,10.1815,Software Engineering,Selenium;JUnit;TestNG;Agile;JIRA;API Testing,2,2000-3000
J008,Network Engineer,Telnet,Tunis,36.8065,10.1815,Software Engineering,Cisco;CCNA;TCP/IP;VPN;Firewalls;Network Monitoring,2,2200-3200
J009,Telecom Engineer,Telnet,Tunis,36.8065,10.1815,Software Engineering,4G/5G;RF Planning;Network Optimization;Python;MATLAB,3,2800-4000
J010,Cybersecurity Analyst,Telnet,Tunis,36.8065,10.1815,Software Engineering,SIEM;Penetration Testing;Firewalls;OWASP;Python;Incident Response,3,3000-4500
J011,Cloud Solutions Engineer,Telnet,Sfax,34.7406,10.7603,Software Engineering,AWS;Azure;Docker;Kubernetes;Python;Terraform,3,2800-4200
J012,Embedded Systems Engineer,Telnet,Sousse,35.8245,10.6346,Software Engineering,C;C++;RTOS;STM32;Linux Embedded;CAN Bus,2,2500-3500
J013,Mobile Developer - Android,Telnet,Tunis,36.8065,10.1815,Software Engineering,Kotlin;Java;Android SDK;REST APIs;Firebase;Git,2,2200-3200
J014,Data Scientist,Talan,Tunis,36.8065,10.1815,Data Science,Python;Scikit-learn;TensorFlow;SQL;Pandas;Data Visualization,2,2800-4000
J015,Machine Learning Engineer,Talan,Tunis,36.8065,10.1815,Data Science,Python;PyTorch;MLflow;Docker;Feature Engineering;NLP,3,3200-4800
J016,Business Intelligence Analyst,Talan,Tunis,36.8065,10.1815,Data Science,Power BI;SQL;Excel;DAX;ETL;Data Modeling,2,2200-3200
J017,Full Stack Developer,Talan,Sousse,35.8245,10.6346,Software Engineering,React;Node.js;PostgreSQL;Docker;Git;TypeScript,2,2200-3200
J018,AI Engineer,Talan,Tunis,36.8065,10.1815,Data Science,Python;LangChain;LLMs;FastAPI;Vector Databases;RAG,2,3000-4500
J019,Data Analyst,Talan,Sfax,34.7406,10.7603,Data Science,Python;SQL;Tableau;Excel;Statistics;Power BI,1,1800-2800
J020,Scrum Master,Talan,Tunis,36.8065,10.1815,Software Engineering,Agile;Scrum;JIRA;Confluence;Stakeholder Management;Coaching,3,3000-4000
J021,Telecom Project Manager,Sofrecom,Tunis,36.8065,10.1815,Software Engineering,Project Management;4G/5G;PMP;MS Project;Risk Management;Telecom Protocols,5,4000-6000
J022,Network Optimization Engineer,Sofrecom,Tunis,36.8065,10.1815,Software Engineering,RF Optimization;Drive Test;TEMS;MapInfo;4G/5G;Python,2,2500-3800
J023,GIS Specialist,Sofrecom,Tunis,36.8065,10.1815,Geomatics,ArcGIS;QGIS;Python;Network Topology;PostgreSQL;PostGIS,2,2500-3500
J024,OSS/BSS Engineer,Sofrecom,Tunis,36.8065,10.1815,Software Engineering,OSS;BSS;SQL;Network Management;Python;Telecom APIs,3,3000-4200
J025,Geomatics Engineer,Sofrecom,Sfax,34.7406,10.7603,Geomatics,QGIS;ArcGIS;Remote Sensing;PostGIS;Python;GPS Survey,2,2300-3300
J026,Lecturer - Computer Science,Esprit School,Tunis,36.8065,10.1815,Software Engineering,Java;Algorithms;Data Structures;Teaching;Research;Python,3,2000-3000
J027,AI Research Engineer,Esprit School,Tunis,36.8065,10.1815,Data Science,Python;Deep Learning;NLP;Computer Vision;PyTorch;Research Writing,3,2500-3500
J028,Web Development Instructor,Esprit School,Tunis,36.8065,10.1815,Software Engineering,HTML5;CSS3;JavaScript;React;Node.js;Pedagogy,2,1800-2800
J029,Data Science Instructor,Esprit School,Tunis,36.8065,10.1815,Data Science,Python;Machine Learning;Statistics;Jupyter;Teaching;SQL,3,2200-3200
J030,Embedded Systems Instructor,Esprit School,Monastir,35.7643,10.8113,Software Engineering,C;C++;Arduino;STM32;Linux;Pedagogy,3,2000-3000
J031,Digital Marketing Manager,Orange Tunisia,Tunis,36.8065,10.1815,Marketing,SEO;Google Ads;Social Media;Analytics;Content Strategy;CRM,3,2500-3800
J032,Brand Manager,Orange Tunisia,Tunis,36.8065,10.1815,Marketing,Brand Strategy;Market Research;Campaign Management;Adobe Suite;KPIs;Storytelling,4,3000-4500
